DEPTH	RHOZ	AT60	DPHZ	CALI	RXOZ	ATD2	IHV	RSOZ	CNTC	AT20	ATCO90	GR	FCD	SMNO	HDRA	RVSRU	RXV	NPOR	AT10	AT30	AT90	ATD1	SP	RWA	BS	ICV	SMIN	RSP	DSOZ	PEFZ	RVDRU	RVV	RXRU	CFTC	NPHI	TNPH	
[m MD]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Ohm.m]	[Ohm.m]	[Unknown]	[mV]	[Ohm.m]	[in]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	
393,50	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1438,786	-999.25	-999.25	34,15263	5,5	-999.25	-999.25	-999.25	-999.25	0,63476	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	343,3391	0,55357	0,68099	
393,65	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1439,296	-999.25	-999.25	34,06189	5,5	-999.25	-999.25	-999.25	-999.25	0,60581	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	368,7123	0,57404	0,5695	
393,80	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1445,934	-999.25	-999.25	33,56966	5,5	-999.25	-999.25	-999.25	-999.25	0,60395	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	360,9126	0,57215	0,60309	
393,95	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1409,481	-999.25	-999.25	35,68126	5,5	-999.25	-999.25	-999.25	-999.25	0,54781	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	354,8792	0,63631	0,59231	
394,11	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1405,454	-999.25	-999.25	36,84146	5,5	-999.25	-999.25	-999.25	-999.25	0,87539	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	313,7807	0,68836	0,85367	
394,26	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1390,584	-999.25	-999.25	34,54716	5,5	-999.25	-999.25	-999.25	-999.25	1,04797	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	296,3136	0,72855	1,02547	
394,41	3,0431	-999.25	-999.25	8,89522	-999.25	-999.25	75,46924	-999.25	1350,684	-999.25	-999.25	33,11031	5,5	-999.25	0,61761	0,28891	0	1,17667	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0,02068	0,03089	0	279,4942	0,71685	1,16512	
394,56	3,0431	-999.25	-999.25	8,89522	-999.25	-999.25	75,46924	-999.25	1373,192	-999.25	-999.25	29,19359	5,5	-999.25	0,61761	0,00927	0,03089	1,00556	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0,00656	0	0	294,3443	0,71045	1,00305	
394,72	3,0431	-999.25	-0,23824	8,87232	-999.25	-999.25	75,46924	-999.25	1396,268	-999.25	-999.25	31,28636	5,5	-999.25	0,61761	0	0,00772	1,00488	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0	0,01544	0,02225	303,0821	0,70025	0,95143	
394,87	3,0431	-999.25	-0,23824	8,89522	-999.25	-999.25	75,46924	-999.25	1420,425	-999.25	-999.25	31,36912	5,5	-999.25	0,61761	0,05739	0,03089	0,82779	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0,02986	0,03089	0,01092	316,0747	0,70149	0,8629	
395,02	3,0431	-999.25	-0,23824	8,89522	-999.25	-999.25	75,46924	-999.25	1440,392	-999.25	-999.25	33,95579	5,5	-999.25	0,61761	5000	0,03089	0,90675	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0,0131	0	5000	314,3303	0,66874	0,92743	
395,17	3,0431	-999.25	-0,23824	8,87232	-999.25	-999.25	75,46924	-999.25	1464,983	-999.25	-999.25	38,37973	5,5	-999.25	0,61761	0,04275	0,03089	0,892	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0,02938	0	0,01436	323,1783	0,6365	0,88745	
395,33	3,0431	-999.25	-0,23824	8,88377	-999.25	-999.25	75,46924	-999.25	1463,992	-999.25	-999.25	41,70322	5,5	-999.25	0,61761	0	0,01544	0,75611	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0	0	0,08999	337,3939	0,58085	0,7589	
395,48	3,0431	-999.25	-0,23824	8,87232	-999.25	-999.25	75,46924	-999.25	1471,23	-999.25	-999.25	43,85601	5,5	-999.25	0,61761	0	0,03089	0,61877	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	0,39525	10	0	0,01544	0	366,2817	0,51906	0,60586	
