IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]
PR-1222	L1B	2556231	4919963	2058.02	2073.11
PR-1222	L1E	2556231	4919963	2078.80	2088.45
PR-1222	L2	2556231	4919963	2104.29	2112.21
PR-1222	L3AC	2556231	4919963	2116.17	2122.36
PR-1222	L3B	2556231	4919963	2123.59	2135.47
PR-1222	L4	2556231	4919963	2138.44	2149.58
PR-1222	L4F	2556231	4919963	2158.98	2168.38
PR-1222	L5	2556231	4919963	2177.05	2184.96
PR-1222	Mkr_L2	2556231	4919963	2186.30	2311.72
PR-1222	L5A	2556231	4919963	2188.18	2192.64
PR-1222	L5B	2556231	4919963	2193.63	2196.35
PR-1222	L5D	2556231	4919963	2205.26	2212.68
PR-1222	L5E	2556231	4919963	2213.17	2217.38
PR-1222	L5F	2556231	4919963	2218.87	2225.55
PR-1222	M4	2556231	4919963	2249.06	2263.41
PR-1222	M4A	2556231	4919963	2267.62	2272.32
PR-1222	M4C	2556231	4919963	2280.98	2285.19
PR-1222	M5	2556231	4919963	2290.38	2297.06
PR-1222	M6	2556231	4919963	2303.75	2310.67
PR-1222	Mkr_M7	2556231	4919963	2311.72	2497.99
PR-1222	M7	2556231	4919963	2312.99	2320.85
PR-1222	M7AB	2556231	4919963	2323.61	2331.26
PR-1222	M8	2556231	4919963	2332.32	2340.60
PR-1222	O1B	2556231	4919963	2360.36	2372.46
PR-1222	O3B	2556231	4919963	2382.23	2389.03
PR-1222	O4	2556231	4919963	2392.00	2405.60
PR-1222	P1	2556231	4919963	2425.92	2432.99
PR-1222	P1B	2556231	4919963	2434.69	2439.79
PR-1222	P2	2556231	4919963	2441.49	2451.26
PR-1222	P3	2556231	4919963	2451.84	2467.19
PR-1222	Mkr_P	2556231	4919963	2497.99	2810.62
PR-1222	R1	2556231	4919963	2500.80	2507.53
PR-1222	R2	2556231	4919963	2536.93	2547.40
PR-1222	R4	2556231	4919963	2586.26	2596.06
PR-1222	R5	2556231	4919963	2598.77	2607.89
PR-1222	R8	2556231	4919963	2648.78	2656.89
PR-1222	R8A	2556231	4919963	2662.97	2670.40
